artikelnummer	de	en	fr
CU2706GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" curry Hexa 6-Kant	Adaptor socket "f" d50-1 1/2" curry Hexa	Manchon adaptateur (filetage femelle Hexa) d50-1 1/2" curry
CU2706GP632	Übergangs-Gewinde-Muffe IG d63-2" curry Hexa 6-Kant	Adaptor socket "f" d63-2 curry Hexa	Manchon adaptateur (filetage femelle Hexa) d63-2" curry
CU2706GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2" curry Hexa 6-Kant	Adaptor socket "f" d75-2 1/2" curry Hexa	Manchon adaptateur (filetage femelle Hexa) d75-2 1/2" curry
CU270GP1104	Übergangs-Gewinde-Muffe IG d110-4" curry	Adaptor socket "f" d110-4" curry	Manchon adaptateur (filetage femelle) d110-4" curry
CU270GP2012	Übergangs-Gewinde-Muffe IG d20-1/2" curry	Adaptor socket "f" d20-1/2" curry	Manchon adaptateur (filetage femelle) d20-1/2" curry
CU270GP2512	Übergangs-Gewinde-Muffe IG d25-1/2" curry	Adaptor socket "f" d25-1/2" curry	Manchon adaptateur (filetage femelle) d25-1/2" curry
CU270GP2534	Übergangs-Gewinde-Muffe IG d25-3/4 curry	Adaptor socket "f" d25-3/4" curry	Manchon adaptateur (filetage femelle) d25-3/4" curry
CU270GP321	Übergangs-Gewinde-Muffe IG d32-1" curry	Adaptor socket "f" d32-1" curry	Manchon adaptateur (filetage femelle) d32-1" curry
CU270GP3234	Übergangs-Gewinde-Muffe IG d32-3/4" curry	Adaptor socket "f" d32-3/4" curry	Manchon adaptateur (filetage femelle) d32-3/4" curry
CU270GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" curry	Adaptor socket "f" d40-1 1/4" curry	Manchon adaptateur (filetage femelle) d40-1 1/4" curry
CU270GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" curry	Adaptor socket "f" d50-1 1/2" curry	Manchon adaptateur (filetage femelle) d50-1 1/2" curry
CU270GP632	Übergangs-Gewinde-Muffe IG d63-2" curry	Adaptor socket "f" d63-2" curry	Manchon adaptateur (filetage femelle) d63-2" curry
