artikelnummer	de	en	fr
AQ041P20	Winkel 45° I/A d20 mm	Elbow 45° m/f d20 mm	Coude 45° (femelle/mâle) d20 mm
AQ041P25	Winkel 45° I/A d25 mm	Elbow 45° m/f d25 mm	Coude 45° (femelle/mâle) d25 mm
AQ045P110	Winkel 45° d110 mm	Elbow 45° d110 mm	Coude 45° d110 mm
AQ045P125	Winkel 45° d125 mm	Elbow 45° d125 mm	Coude 45° d20 mm d125 mm
AQ045P160	Winkel 45° (SDR 11) d160 mm	Elbow 45° d160 mm (SDR 11)	Coude 45° d160 mm (SDR 11)
AQ045P20	Winkel 45° d20 mm	Elbow 45° d20 mm	Coude 45° d20 mm
AQ045P200	Winkel 45° (SDR 11) d200 mm	Elbow 45° d200 mm (SDR 11)	Coude 45° d200 mm (SDR 11)
AQ045P25	Winkel 45° d25 mm	Elbow 45° d25 mm	Coude 45° d25 mm
AQ045P250	Winkel 45° (SDR 11) d250 mm	Elbow 45° d250 mm (SDR 11)	Coude 45° d250 mm (SDR 11)
AQ045P315	Winkel 45° (SDR 11) d315 mm	Elbow 45° d315 mm (SDR 11)	Coude 45° d315 mm (SDR 11)
AQ045P32	Winkel 45° d32 mm	Elbow 45° d32 mm	Coude 45° d32 mm
AQ045P40	Winkel 45° d40 mm	Elbow 45° d40 mm	Coude 45° d40 mm
AQ045P50	Winkel 45° d50 mm	Elbow 45° d50 mm	Coude 45° d50 mm
AQ045P63	Winkel 45° d63 mm	Elbow 45° d63 mm	Coude 45° d63 mm
AQ045P75	Winkel 45° d75 mm	Elbow 45° d75 mm	Coude 45° d75 mm
AQ045P90	Winkel 45° d90 mm	Elbow 45° d90 mm	Coude 45° d90 mm
AQ0906GP321	Winkel 90° IG d32-1" Hexa 6-Kant	Elbow 90° "f" d32-1" Hexa	Coude 90° (filetage femelle Hexa) d32-1"
AQ090GP2012	Winkel 90° IG d20-1/2"	Elbow 90° "f" d20-1/2"	Coude 90° (filetage femelle) d20-1/2"
AQ090GP2512	Winkel 90° IG d25-1/2"	Elbow 90° "f" d25-1/2"	Coude 90° (filetage femelle) d25-1/2"
AQ090GP2534	Winkel 90° IG d25-3/4"	Elbow 90° "f" d25-3/4"	Coude 90° (filetage femelle) d25-3/4"
AQ090GP321	Winkel 90° IG d32-1"	Elbow 90° "f" d32-1" mm	Coude 90° (filetage femelle) d32-1" mm
AQ090GP3234	Winkel 90° IG d32-3/4"	Elbow 90° "f" d32-3/4"	Coude 90° (filetage femelle) d32-3/4"
AQ090LP25	Bogen 90° d25 mm	Elbow 90° d25 mm	Coude 90° d25 mm
AQ090LP32	Bogen 90° d32 mm	Elbow 90° d32 mm	Coude 90° d32 mm
AQ090P110	Winkel 90° d110 mm	Elbow 90° d110 mm	Coude 90° d110 mm
AQ090P125	Winkel 90° d125 mm	Elbow 90° d125 mm	Coude 90° d125 mm
AQ090P160	Winkel 90° (SDR 11) d160 mm	Elbow 90° d160 mm (SDR 11)	Coude 90° d160 mm (SDR 11)
AQ090P20	Winkel 90° d20 mm	Elbow 90° d20 mm	Coude 90° d20 mm
AQ090P200	Winkel 90° (SDR 11) d200 mm	Elbow 90° d200 mm (SDR 11)	Coude 90° d200 mm (SDR 11)
AQ090P25	Winkel 90° d25 mm	Elbow 90° d25 mm	Coude 90° d25 mm
AQ090P250	Winkel 90° (SDR 11) d250 mm	Elbow 90° d250 mm (SDR 11)	Coude 90° d250 mm (SDR 11)
AQ090P315	Winkel 90° (SDR 11) d315 mm	Elbow 90° d315 mm (SDR 11)	Coude 90° d315 mm (SDR 11)
AQ090P32	Winkel 90° d32 mm	Elbow 90° d32 mm	Coude 90° d32 mm
AQ090P40	Winkel 90° d40 mm	Elbow 90° d40 mm	Coude 90° d40 mm
AQ090P50	Winkel 90° d50 mm	Elbow 90° d50 mm	Coude 90° d50 mm
AQ090P63	Winkel 90° d63 mm	Elbow 90° d63 mm	Coude 90° d63 mm
AQ090P75	Winkel 90° d75 mm	Elbow 90° d75 mm	Coude 90° d75 mm
AQ090P90	Winkel 90° d90 mm	Elbow 90° d90 mm	Coude 90° d90 mm
AQ091GP2012	Winkel 90° I/A IG d20-1/2" 	Elbow 90° "f" d20-1/2"	Coude 90° (filetage femelle) d20-1/2"
AQ091P20	Winkel 90° I/A d20 mm	Elbow 90° m/f d20 mm	Coude 90° (femelle/mâle) d20 mm
AQ091P25	Winkel 90° I/A d25 mm	Elbow 90° m/f d25mm	Coude 90° (femelle/mâle) d25mm
AQ091P32	Winkel 90° I/A d32 mm	Elbow 90° m/f d32 mm	Coude 90° (femelle/mâle) d32 mm
AQ0926GP321	Winkel 90° AG d32-1" Hexa 6-Kant	Elbow 90° "m" d32-1" Hexa	Coude 90° (filetage mâle Hexa) 90° (filetage mâle) d32-1"
AQ092GP2012	Winkel 90° AG d20-1/2"	Elbow 90° "m" d20-1/2	Coude 90° (filetage mâle) d20-1/2"
AQ092GP2512	Winkel 90° AG d25-1/2"	Elbow 90° "m" d25-1/2"	Coude 90° (filetage mâle) (filetage mâle) d25-1/2"
AQ092GP2534	Winkel 90° AG d25-3/4"	Elbow 90° "m" d25-3/4"	Coude 90° (filetage mâle) d25-3/4"
AQ092GP321	Winkel 90° AG d32-1"	Elbow 90° "m" d32-1"	Coude 90° (filetage mâle) d32-1"
AQ092GP3234	Winkel 90° AG d32-3/4"	Elbow 90° "m" d32-3"	Coude 90° (filetage mâle) d32-3"
AQ1306GP321	T-Stück 90° IG d32-1 Hexa 6-Kant	Tee 90° "f" d32-1" Hexa	Té 90° (filetage femelle Hexa) 90° d32-1"
AQ130GP2012	T-Stück 90° IG d20-1/2"	Tee 90° "f" d20-1/2	Té 90° (filetage femelle) d20-1/2"
AQ130GP2512	T-Stück 90° IG d25-1/2"	Tee 90° "f" d25-1/2"	Té 90° (filetage femelle) d25-1/2"
AQ130GP2534	T-Stück 90° IG d25-3/4"	Tee 90° "f" d25-3/4	Té 90° (filetage femelle) d25-3/4"
AQ130GP321	T-Stück 90° IG d32-1"	Tee 90° "f" d32-1"	Té 90° (filetage femelle) d32-1"
AQ130GP3212	T-Stück 90° IG d32-1/2"	Tee "f" d32-1"	Té (filetage femelle) d32-1"
AQ130GP3234	T-Stück 90° IG d32-3/4"	Tee "f" d32-3"	Té 90° (filetage femelle) d32-3/4"
AQ130P110	T-Stück d110 mm	Tee d110 mm	Té d110 mm
AQ130P11063	T-Stück red. d110-63 mm	Reducing tee d110-63 mm	Té réduit d110-63 mm
AQ130P11075	T-Stück red. d110-75 mm	Reducing tee d110-75 mm	Té réduit d110-75 mm
AQ130P11090	T-Stück red. d110-90 mm	Reducing tee d110-90 mm	Té réduit d110-90 mm
AQ130P125	T-Stück d125 mm	Tee d125 mm	Té d125 mm
AQ130P125110	T-Stück red. d125-110 mm	Reducing tee d125-110 mm	Té réduit d125-110 mm
AQ130P12590	T-Stück red. d125-90 mm	Reducing tee d125-90 mm (SDR 11)	Té réduit d125-90 mm (SDR 11)
AQ130P160	T-Stück (SDR 11) d160 mm	Tee d160 mm (SDR 11)	Té d160 mm (SDR 11)
AQ130P160110	T-Stück red. (SDR 11) d160-110 mm	Reducing tee d160-110 mm (SDR 11)	Té réduit d160-110 mm (SDR 11)
AQ130P160125	T-Stück red. (SDR 11) d160-125 mm	Reducing tee d160-125 mm (SDR 11)	Té réduit d160-125 mm (SDR 11)
AQ130P16090	T-Stück red. (SDR 11) d160-90 mm	Reducing tee d160-90 mm (SDR 11)	Té réduit d160-90 mm (SDR 11)
AQ130P20	T-Stück d20 mm	Tee d20 mm	Té d20 mm
AQ130P200	T-Stück (SDR 11) d200 mm	Tee d200 mm (SDR 11)	Té d200 mm (SDR 11)
AQ130P200110	T-Stück red. (SDR 11) d200-110 mm	Reducing tee d200-110 mm (SDR 11)	Té réduit d200-110 mm (SDR 11)
AQ130P200160	T-Stück red. (SDR 11) d200-160 mm	Reducing tee d200-160 mm (SDR 11)	Té réduit d200-160 mm (SDR 11)
AQ130P20090	T-Stück red. (SDR 11) d200-90 mm	Reducing tee d200-90 mm (SDR 11)	Té réduit d200-90 mm (SDR 11)
AQ130P25	T-Stück d25 mm	Tee d25 mm	Té d25 mm
AQ130P250	T-Stück (SDR 11) d250 mm	Tee d250 mm (SDR 11)	Té d250 mm (SDR 11)
AQ130P250110	T-Stück red. (SDR 11) d250-110 mm	Reducing tee d250-110 mm (SDR 11)	Té réduit d250-110 mm (SDR 11)
AQ130P250160	T-Stück red. (SDR 11) d250-160 mm	Reducing tee d250-160 mm (SDR 11)	Té réduit d250-160 mm (SDR 11)
AQ130P2520	T-Stück red. d25-20 mm	Reducing tee d25-20 mm	Té réduit d25-20 mm
AQ130P315	T-Stück (SDR 11) d315 mm	Tee d315 mm (SDR 11)	Té d315 mm (SDR 11)
AQ130P315110	T-Stück red. (SDR 11) d315-110 mm	Reducing tee d315-110 mm (SDR 11)	Té réduit d315-110 mm (SDR 11)
AQ130P315160	T-Stück red. (SDR 11) d315-160 mm	Reducing tee d315-160 mm (SDR 11)	Té réduit d315-160 mm (SDR 11)
AQ130P315250	T-Stück red. (SDR 11) d315-250 mm	Reducing tee d315-250 mm (SDR 11)	Té réduit d315-250 mm (SDR 11)
AQ130P32	T-Stück d32 mm	Tee d32 mm	Té d32 mm
AQ130P3220	T-Stück red. d32-20 mm	Reducing tee d32-20 mm	Té réduit d32-20 mm
AQ130P3225	T-Stück red. d32-25 mm	Reducing tee d32-25 mm	Té réduit d32-25 mm
AQ130P40	T-Stück d40 mm	Tee d40 mm	Té d40 mm
AQ130P4020	T-Stück red. d40-20 mm	Reducing tee d40-20 mm	Té réduit d40-20 mm
AQ130P4025	T-Stück red. d40-25 mm	Reducing tee d40-25 mm	Té réduit d40-25 mm
AQ130P4032	T-Stück red. d40-32 mm	Reducing tee d40-32 mm	Té réduit d40-32 mm
AQ130P50	T-Stück d50 mm	Tee d50 mm	Té d50 mm
AQ130P5020	T-Stück red. d50-20 mm	Reducing tee d50-20 mm	Té réduit d50-20 mm
AQ130P5025	T-Stück red. d50-25 mm	Reducing tee d50-25 mm	Té réduit d50-25 mm
AQ130P5032	T-Stück red. d50-32 mm	Reducing tee d50-32 mm	Té réduit d50-32 mm
AQ130P5040	T-Stück red. d50-40 mm	Reducing tee d50-40 mm	Té réduit d50-40 mm
AQ130P63	T-Stück d63 mm	Tee d63 mm	Té d63 mm
AQ130P6320	T-Stück red. d63-20 mm	Reducing tee d63-20 mm	Té réduit d63-20 mm
AQ130P6325	T-Stück red. d63-25 mm	Reducing tee d63-25 mm	Té réduit d63-25 mm
AQ130P6332	T-Stück red. d63-32 mm	Reducing tee d63-32 mm	Té réduit d63-32 mm
AQ130P6340	T-Stück red. d63-40 mm	Reducing tee d63-40 mm	Té réduit d63-40 mm
AQ130P6350	T-Stück red. d63-50 mm	Reducing tee d63-50 mm	Té réduit d63-50 mm
AQ130P75	T-Stück d75 mm	Tee d75 mm	Té d75 mm
AQ130P7520	T-Stück red. d75-20 mm	Reducing tee d75-20 mm	Té réduit d75-20 mm
AQ130P7525	T-Stück red. d75-25 mm	Reducing tee d75-25 mm	Té réduit d75-25 mm
AQ130P7532	T-Stück red. d75-32 mm	Reducing tee d75-32 mm	Té réduit d75-32 mm
AQ130P7540	T-Stück red. d75-40 mm	Reducing tee d75-40 mm	Té réduit d75-40 mm
AQ130P7550	T-Stück red. d75-50 mm	Reducing tee d75-50 mm	Té réduit d75-50 mm
AQ130P7563	T-Stück red. d75-63 mm	Reducing tee d75-63 mm	Té réduit d75-63 mm
AQ130P90	T-Stück d90 mm	Tee d90 mm	Té d90 mm
AQ130P9063	T-Stück red. d90-63 mm	Reducing tee d90-63 mm	Té réduit d90-63 mm
AQ130P9075	T-Stück red. d90-75 mm	Reducing tee d90-75 mm	Té réduit d90-75 mm
AQ130SP16025025	Einschweißsattel d160-250 -25 mm	Welding Saddle d160-250 -25 mm	Selle de soudage de soudage d160-250 -25 mm
AQ130SP16025032	Einschweißsattel d160-250 -32 mm	Welding Saddle d160-250-32 mm 	Selle de soudage de soudage d160-250 -32 mm
AQ130SP16025040	Einschweißsattel d160-250 -40 mm	Welding Saddle d160-250 -40 mm 	Selle de soudage de soudage d160-250 -40 mm 
AQ130SP16025050	Einschweißsattel d160-250 -50 mm	Welding Saddle d160-250 -50mm 	Selle de soudage de soudage d160-250 -50 mm 
AQ130SP16025063	Einschweißsattel d160-250 -63 mm	Welding Saddle d160-250 -63 mm	Selle de soudage de soudage d160-250 -63 mm 
AQ130SP406320	Einschweißsattel d40-63 -20 mm	Welding Saddle d40-63 -20 mm 	Selle de soudage de soudage d40-63 -20 mm 
AQ130SP406325	Einschweißsattel d40-63 -25 mm	Welding Saddle d40-63 -25 mm	Selle de soudage de soudage d40-63 -25 mm
AQ130SP406332	Einschweißsattel d40-63 -32 mm	Welding Saddle d40-63 -32 mm	Selle de soudage de soudage d40-63 -32 mm
AQ130SP5025	Einschweißsattel d50 -25 mm	Weld-in saddle d50-25 mm	Collier de soudage d50-25 mm
AQ130SP6320	Einschweißsattel d63 -20 mm	Weld-in saddle d63-20 mm	Collier de soudage d63-20 mm
AQ130SP6325	Einschweißsattel d63 -25 mm	Weld-in saddle d63-25 mm	Collier de soudage d63-25 mm
AQ130SP7512525	Einschweißsattel d75-125 -25 mm	Welding Saddle d75-125 -25 mm	Selle de soudage de soudage d75-125 -25 mm
AQ130SP7512532	Einschweißsattel d75-125 -32 mm	Welding Saddle d75-125 -32 mm 	Selle de soudage de soudage d75-125 -32 mm
AQ130SP7512540	Einschweißsattel d75-125 -40 mm	Welding Saddle d75-125 -40 mm	Selle de soudage de soudage d75-125 -40 mm
AQ130SP7525	Einschweißsattel d75 -25 mm	Welding Saddle d75-25 mm	Selle de soudage de soudage d75-25 mm
AQ133GP2012	T-Stück 90° AG d20-1/2"	Tee 90° "m" d20-1/2	Té 90° (filetage mâle) d20-1/2"
AQ133GP2034	T-Stück 90° AG d20-3/4"	Tee 90° "m" d20-3/4"	Té 90° (filetage mâle) d20-3/4"
AQ133GP2512	T-Stück 90° AG d25-1/2"	Tee 90° "m" d25-1/2"	Té 90° (filetage mâle) d25-1/2"
AQ133GP2534	T-Stück 90° AG d25-3/4"	Tee 90° "m" d25-3/4"	Té 90° (filetage mâle) d25-3/4"
AQ180P25	Kreuz d25 mm	Cross d25 mm	Croix d25 mm
AQ180P32	Kreuz d32 mm	Cross d32 mm	Croix d32 mm
AQ2436GP321	Übergangs-Gewinde-Muffe AG d32-1" Hexa 6-Kant	Adaptor socket "m" d32-1" Hexa	Manchon adaptateur (filetage mâle Hexa) d32-1"
AQ2436GP401	Übergangs-Gewinde-Muffe AG d40-1" Hexa 6-Kant	Adaptor socket "m" d40-1" Hexa	Manchon adaptateur (filetage mâle Hexa) d40-1"
AQ2436GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4" Hexa 6-Kant	Adaptor socket "m" d40-1 1/4" Hexa	Manchon adaptateur (filetage mâle Hexa) d40-1 1/4"
AQ2436GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2" Hexa 6-Kant	Adaptor socket "m" d50-1 1/2" Hexa	Manchon adaptateur (filetage mâle Hexa) d50-1 1/2"
AQ2436GP632	Übergangs-Gewinde-Muffe AG d63-2" Hexa 6-Kant	Adaptor socket "m" d63-2 Hexa	Manchon adaptateur (filetage mâle Hexa) d63-2"
AQ2436GP75212	Übergangs-Gewinde-Muffe AG d75-2 1/2" Hexa 6-Kant	Adaptor socket "m" d75-2 1/2 Hexa	Manchon adaptateur (filetage mâle Hexa) d75-2 1/2"
AQ243GP1104	Übergangs-Gewinde-Muffe AG d110-4"	Adaptor socket "m" d110-4"	Manchon adaptateur (filetage mâle) d110-4"
AQ243GP2012	Übergangs-Gewinde-Muffe AG d20-1/2"	Adaptor socket "m" d20-1/2"	Manchon adaptateur (filetage mâle) d20-1/2"
AQ243GP2034	Übergangs-Gewinde-Muffe AG d20-3/4"	Adaptor socket "m" d20-3/4"	Manchon adaptateur (filetage mâle) d20-3/4"
AQ243GP2512	Übergangs-Gewinde-Muffe AG d25-1/2"	Adaptor socket "m" d25-1/2"	Manchon adaptateur (filetage mâle) d25-1/2"
AQ243GP2534	Übergangs-Gewinde-Muffe AG d25-3/4"	Adaptor socket "m" d25-3/4"	Manchon adaptateur (filetage mâle) d25-3/4"
AQ243GP321	Übergangs-Gewinde-Muffe AG d32-1"	Adaptor socket "m" d32-1"	Manchon adaptateur (filetage mâle) d32-1"
AQ243GP3234	Übergangs-Gewinde-Muffe AG d32-3/4"	Adaptor socket "m" d32-3/4"	Manchon adaptateur (filetage mâle) d32-3/4"
AQ243GP401	Übergangs-Gewinde-Muffe AG d40-1"	Adaptor socket "m" d40-1"	Manchon adaptateur (filetage mâle) d40-1"
AQ243GP40114	Übergangs-Gewinde-Muffe AG d40-1 1/4"	Adaptor socket "m" d40-1 1/4"	Manchon adaptateur (filetage mâle) d40-1 1/4"
AQ243GP50112	Übergangs-Gewinde-Muffe AG d50-1 1/2"	Adaptor socket "m" d50-1 1/2"	Manchon adaptateur (filetage mâle) d50-1 1/2"
AQ243GP632	Übergangs-Gewinde-Muffe AG d63-2"  	Adaptor socket "m" d63-2" 	Manchon adaptateur (filetage mâle) d63-2"
AQ243GP75212	Übergangs-Gewinde-Muffe AG d75-2 1/2"  	Adaptor socket "m" d75-2 1/2"	Manchon adaptateur (filetage mâle) d75-2 1/2"
AQ243GP903	Übergangs-Gewinde-Muffe AG d90-3"	Adaptor socket "m" d90-3"	Manchon adaptateur (filetage mâle) d90-3"
AQ243P11063	Reduktion d110-63 mm	Reducing bush d110-63 mm	Réduction d110-63 mm
AQ243P11075	Reduktion d110-7 mm	Reducing bush d110-75 mm	Réduction d110-75 mm
AQ243P11090	Reduktion d110-90 mm	Reducing bush d110-90 mm	Réduction d110-90 mm
AQ243P125110	Reduktion d125-110 mm	Reducing bush d125-110 mm	Réduction d125-110 mm
AQ243P160110	Reduktion (SDR 11) d160-110 mm	Reducing bush d160-110 mm (SDR 11)	Réduction d160-110 mm (SDR 11)
AQ243P160125	Reduktion (SDR 11) d160-125 mm	Reducing bush d160-125 mm (SDR 11)	Réduction d160-125 mm (SDR 11)
AQ243P16090	Reduktion (SDR 11) d160-90 mm	Reducing bush d160-90 mm (SDR 11)	Réduction d160-90 mm (SDR 11)
AQ2431GP2512	Übergangs-Gewinde-Muffe AG d25-1/2" I/A	Adaptor socket "m" d25-1/2" m/f	Manchon adaptateur m/f (filetage mâle) d25-1/2"
AQ243P200160	Reduktion (SDR 11) d200-160 mm	Reducing bush d200-160 mm (SDR 11)	Réduction d200-160 mm (SDR 11)
AQ243P250160	Reduktion (SDR 11) d250-160 mm	Reducing bush d250-160 mm (SDR 11)	Réduction d250-160 mm (SDR 11)
AQ243P250200	Reduktion (SDR 11) d250-200 mm	Reducing bush d250-200 mm (SDR 11)	Réduction d250-200 mm (SDR 11)
AQ243P2520	Reduktion d25-20 mm	Reducing bush d25-20 mm	Réduction d25-20 mm
AQ243P315250	Reduktion (SDR 11) d315-250 mm	Reducing bush d315-250 mm (SDR 11)	Réduction d315-250 mm (SDR 11)
AQ243P3220	Reduktion d32-20 mm	Reducing bush d32-20 mm	Réduction d32-20 mm
AQ243P3225	Reduktion d32-20 mm	Reducing bush d32-25 mm	Réduction d32-25 mm
AQ243P4020	Reduktion d40-20 mm	Reducing bush d40-20 mm	Réduction d40-20 mm
AQ243P4025	Reduktion d40-25 mm	Reducing bush d40-25 mm	Réduction d40-25 mm
AQ243P4032	Reduktion d40-32 mm	Reducing bush d40-32 mm	Réduction d40-32 mm
AQ243P5020	Reduktion d50-20 mm	Reducing bush d50-20 mm	Réduction d50-20 mm
AQ243P5025	Reduktion d50-25 mm	Reducing bush d50-25 mm	Réduction d50-25 mm
AQ243P5032	Reduktion d50-32 mm	Reducing bush d50-32 mm	Réduction d50-32 mm
AQ243P5040	Reduktion d50-40 mm	Reducing bush d50-40 mm	Réduction d50-40 mm
AQ243P6320	Reduktion d63-20 mm	Reducing bush d63-20 mm	Réduction d63-20 mm
AQ243P6325	Reduktion d63-25 mm	Reducing bush d63-25 mm	Réduction d63-25 mm
AQ243P6332	Reduktion d63-32 mm	Reducing bush d63-32 mm	Réduction d63-32 mm
AQ243P6340	Reduktion d63-40 mm	Reducing bush d63-40 mm	Réduction d63-40 mm
AQ243P6350	Reduktion d63-50 mm	Reducing bush d63-50 mm	Réduction d63-50 mm
AQ243P7532	Reduktion d75-32 mm	Reducing bush d75-32 mm	Réduction d75-32 mm
AQ243P7540	Reduktion d75-40 mm	Reducing bush d75-40 mm	Réduction d75-40 mm
AQ243P7550	Reduktion d75-50 mm	Reducing bush d75-50 mm	Réduction d75-50 mm
AQ243P7563	Reduktion d75-63 mm	Reducing bush d75-63 mm	Réduction d75-63 mm
AQ243P9050	Reduktion d90-50 mm	Reducing bush d90-50 mm	Réduction d90-50 mm
AQ243P9063	Reduktion d90-63 mm	Reducing bush d90-63 mm	Réduction d90-63 mm
AQ243P9075	Reduktion d90-75 mm	Reducing bush d90-75 mm	Réduction d90-75 mm
AQ243SP406312	Einschweißsattel AG d40-63 1/2"	Weld-in saddle "m" d40-63 1/2"	Collier de soudage (filetage mâle) d40-63 1/2"
AQ243SP406334	Einschweißsattel AG d40-63 3/4"	Weld-in saddle "m" d40-63 3/4"	Collier de soudage (filetage mâle) d40-63 3/4"
AQ243SP7512512	Einschweißsattel AG d75-125 1/2"	Weld-in saddle "m" d75-125 1/2"	Collier de soudage (filetage mâle) d75-125 1/2"
AQ243SP7512534	Einschweißsattel AG d75-125 3/4"	Weld-in saddle "m" d75-125 3/4"	Collier de soudage (filetage mâle) d75-125 3/4"
AQ2706GP321	Übergangs-Gewinde-Muffe IG d32-1" Hexa 6-Kant	Adaptor socket "f" d32-1" Hexa	Manchon adaptateur (filetage femelle Hexa) d32-1"
AQ2706GP401	Übergangs-Gewinde-Muffe IG d40-1" Hexa 6-Kant	Adaptor socket "f" d40-1" Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1"
AQ2706GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4" Hexa 6-Kant	Adaptor socket "f" d40-1 1/4" Hexa	Manchon adaptateur (filetage femelle Hexa) d40-1 1/4"
AQ2706GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2" Hexa 6-Kant	Adaptor socket "f" d50-1 1/2" Hexa	Manchon adaptateur (filetage femelle Hexa) d50-1 1/2"
AQ2706GP632	Übergangs-Gewinde-Muffe IG d63-2" Hexa 6-Kant	Adaptor socket "f" d63-2" Hexa	Manchon adaptateur (filetage femelle Hexa) d63-2"
AQ2706GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2" Hexa 6-Kant	Adaptor socket "f" d75-2 1/2 Hexa	Manchon adaptateur (filetage femelle Hexa) d75-2 1/2"
AQ270GP1104	Übergangs-Gewinde-Muffe IG d110-4"	Adaptor socket "f" d110-4"	Manchon adaptateur (filetage femelle) d110-4" 
AQ270GP2012	Übergangs-Gewinde-Muffe IG d20-1/2"	Adaptor socket "f" d20-1/2"	Manchon adaptateur (filetage femelle) d20-1/2"
AQ270GP2034	Übergangs-Gewinde-Muffe IG d20-3/4"	Adaptor socket "f" d20-3/4"	Manchon adaptateur (filetage femelle) d20-3/4"
AQ270GP2512	Übergangs-Gewinde-Muffe IG d25-1/2"	Adaptor socket "f" d25-1/2"	Manchon adaptateur (filetage femelle) d25-1/2"
AQ270GP2534	Übergangs-Gewinde-Muffe IG d25-3/4"	Adaptor socket "f" d25-3/4"	Manchon adaptateur (filetage femelle) d25-3/4"
AQ270GP321	Übergangs-Gewinde-Muffe IG d32-1"	Adaptor socket "f" d32-1"	Manchon adaptateur (filetage femelle) d32-1"
AQ270GP3234	Übergangs-Gewinde-Muffe IG d32-3/4"	Adaptor socket "f" d32-3/4"	Manchon adaptateur (filetage femelle) d32-3/4"
AQ270GP401	Übergangs-Gewinde-Muffe IG d40-1" 	Adaptor socket "f" d40-1"	Manchon adaptateur (filetage femelle) d40-1"
AQ270GP40114	Übergangs-Gewinde-Muffe IG d40-1 1/4"	Adaptor socket "f" d40-1 1/4"	Manchon adaptateur (filetage femelle) d40-1 1/4"
AQ270GP50112	Übergangs-Gewinde-Muffe IG d50-1 1/2"	Adaptor socket "f" d50-1 1/2"	Manchon adaptateur (filetage femelle) d50-1 1/2"
AQ270GP632	Übergangs-Gewinde-Muffe IG d63-2"	Adaptor socket "f" d63-2"	Manchon adaptateur (filetage femelle) d63-2"
AQ270GP75212	Übergangs-Gewinde-Muffe IG d75-2 1/2"	Adaptor socket "f" d75-2 1/2"	Manchon adaptateur (filetage femelle) d75-2 1/2"
AQ270GP903	Übergangs-Gewinde-Muffe IG d90-3"	Adaptor socket "f" d90-3"	Manchon adaptateur (filetage femelle) d90-3"
AQ270P110	Muffe d110 mm	Socket d110 mm	Manchon d110 mm
AQ270P125	Muffe d125 mm	Socket d125 mm	Manchon d125 mm
AQ270P20	Muffe d20 mm	Socket d20 mm	Manchon d20 mm
AQ270P25	Muffe d25 mm	Socket d25 mm	Manchon d25 mm
AQ270P32	Muffe d32 mm	Socket d32 mm	Manchon d32 mm
AQ270P40	Muffe d40 mm	Socket d40 mm	Manchon d40 mm
AQ270P50	Muffe d50 mm	Socket d50 mm	Manchon d50 mm
AQ270P63	Muffe d63 mm	Socket d63 mm	Manchon d63 mm
AQ270P75	Muffe d75 mm	Socket d75 mm	Manchon d75 mm
AQ270P90	Muffe d90 mm	Socket d90 mm	Manchon d90 mm
AQ270SP406312	Einschweißsattel IG d40-63 1/2"	Weld-in saddle "f" d40-63 1/2"	Collier de soudage (filetage femelle) d40-63 1/2"
AQ270SP406334	Einschweißsattel IG d40-63 3/4"	Weld-in saddle "f" d40-63 3/4"	Collier de soudage (filetage femelle) d40-63 3/4"
AQ270SP7512512	Einschweißsattel IG d75-125 1/2"	Weld-in saddle "f" d75-125 1/2"	Collier de soudage (filetage femelle) d75-125 1/2"
AQ270SP7512534	Einschweißsattel IG d75-125 3/4"	Weld-in saddle "f" d75-125 3/4"	Collier de soudage (filetage femelle) d75-125 3/4"
AQ271P110	Elektro-Schweißmuffe d110 mm	Electrofusion socket d110 mm	Raccord électrofusion d110 mm
AQ271P125	Elektro-Schweißmuffe d125 mm	Electrofusion socket d125 mm	Raccord électrofusion d125 mm
AQ271P160	Elektro-Schweißmuffe d160 mm	Electrofusion socket d160 mm	Raccord électrofusion d160 mm
AQ271P20	Elektro-Schweißmuffe d20 mm	Electrofusion socket d20 mm	Raccord électrofusion d20 mm
AQ271P200	Elektro-Schweißmuffe d200 mm	Electrofusion socket d200 mm	Raccord électrofusion d200 mm
AQ271P25	Elektro-Schweißmuffe d25 mm	Electrofusion socket d25 mm	Raccord électrofusion d25 mm
AQ271P250	Elektro-Schweißmuffe d250 mm	Electrofusion socket d250 mm	Raccord électrofusion d250 mm
AQ271P315	Elektro-Schweißmuffe d315 mm	Electrofusion socket d315 mm	Raccord électrofusion d315 mm
AQ271P32	Elektro-Schweißmuffe d32 mm	Electrofusion socket d32 mm	Raccord électrofusion d32 mm
AQ271P40	Elektro-Schweißmuffe d40 mm	Electrofusion socket d40 mm	Raccord électrofusion d40 mm
AQ271P50	Elektro-Schweißmuffe d50 mm	Electrofusion socket d50 mm	Raccord électrofusion d50 mm
AQ271P63	Elektro-Schweißmuffe d63 mm	Electrofusion socket d63 mm	Raccord électrofusion d63 mm
AQ271P75	Elektro-Schweißmuffe d75 mm	Electrofusion socket d75 mm	Raccord électrofusion d75 mm
AQ271P90	Elektro-Schweißmuffe d90 mm	Electrofusion socket d90 mm	Raccord électrofusion d90 mm
AQ287P20	Überspringbogen d20 mm	Cross over d20 mm	Raccord transversal d20 mm
